Codigo_Unico,Categoria,Sub_Categoria,Senioridade,modelo,Categoria_Candidaturas,Habilidade,Mencionada
9af764fc-6b3c-4883-acff-55b84d7bc71e,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,AGILE,1
7bfd0e07-c062-4011-b06c-6433f0bcc194,DESENVOLVIMENTO,DESENVOLVIMENTO FRONTEND,PLENO-SÊNIOR,OUTRO,0 Candidaturas,AGILE,1
52d92d6f-975a-4407-b6b4-54b8d17f19b8,DESENVOLVIMENTO,DESENVOLVIMENTO FULL STACK,ASSISTENTE,REMOTO,Até 25 Candidaturas,AGILE,1
a57c562a-699d-4dc7-bef9-179a434c127f,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,AGILE,1
708aeabd-31a0-4374-b40c-b7de35443e4c,CLOUD/DEVOPS/INFRA,CLOUD/DEVOPS/INFRA,PLENO-SÊNIOR,PRESENCIAL,Até 25 Candidaturas,AGILE,1
25ebbe60-43b6-469a-a41d-6eb347f64b73,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,HÍBRIDO,0 Candidaturas,AGILE,1
da643dca-c576-4809-bad6-7dc775692365,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,HÍBRIDO,0 Candidaturas,AGILE,1
2abab78d-67cb-43b8-9d18-8dfa9b74e853,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,REMOTO,Entre 101 e 200 Candidaturas,AGILE,1
dca5b45d-3c5e-4188-8209-9571de510d2d,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,AGILE,1
98b68ff0-721d-42fb-a198-8cbb8e2737e9,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,OUTRO,Entre 101 e 200 Candidaturas,AGILE,1
814a92b5-6f32-4a86-b21d-c7fb85b4bd6a,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,REMOTO,Até 25 Candidaturas,AGILE,1
7971603d-f5cf-412b-8fea-3a4f61129092,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,OUTRO,0 Candidaturas,AGILE,1
70171d9a-eaa3-47e4-a10b-61709132e567,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,REMOTO,Até 25 Candidaturas,AGILE,1
47be2fa4-8393-413b-961a-8c542c57c7f9,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,REMOTO,0 Candidaturas,AGILE,1
d3a7f486-dd1a-4997-9f56-bc9cebdcf812,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,OUTRO,0 Candidaturas,AGILE,1
e1fd515b-abd7-4b02-a518-7f5eccc0f95c,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,REMOTO,0 Candidaturas,AGILE,1
9a5aa42d-b75a-4d8a-b3dc-ce7ef53fc924,LIDERANÇA,LIDERANÇA,PLENO-SÊNIOR,REMOTO,Entre 101 e 200 Candidaturas,AGILE,1
75fa437e-05ad-405c-8d4a-8fc8c89adc9b,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,REMOTO,Entre 101 e 200 Candidaturas,AGILE,1
4c826a2b-3f9f-4ce1-be3e-b0dd3c9abe00,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,HÍBRIDO,Entre 101 e 200 Candidaturas,AGILE,1
